"LV-Nr";"Fachname";"Typ";"Vortragende";"Lehrstuhl";"Link"
"11.37999";"Optimierung A";"VU";"Günzel, Harald; Seidel, Jonas";"Lehrstuhl für Analysis und ihre Anwendungen";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560379"
"12.47000";"Physikalische Simulation im Visual Computing";"VU";"Bender, Jan Stephen";"Lehr- und Forschungsgebiet Computer Animation";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563631"
"81.11000";"Portfolio Management";"UE";"Uddin, Sami";"Lehrstuhl für Betriebswirtschaftslehre, insbesondere Betriebliche Finanzwirtschaft";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562267"
"81.10000";"Portfolio Management";"VO";"Uddin, Sami";"Lehrstuhl für Betriebswirtschaftslehre, insbesondere Betriebliche Finanzwirtschaft";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562311"
"12.42728";"Post-Desktop User Interfaces";"SE";"Borchers, Jan Oliver";"Lehrstuhl für Medieninformatik und Mensch-Computer-Interaktion (Informatik 10)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562130"
"81.49595";"Praktische Optimierung mit Modellierungssprachen";"VO";"Lübbecke, Marco";"Lehrstuhl für Operations Research";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560866"
"81.49597";"Praktische Optimierung mit Modellierungssprachen";"";"Helber, Alexander";"Lehrstuhl für Operations Research";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561641"
"12.53583";"Privacy Enhancing Technologies for Data Science";"VU";"Decker, Stefan Josef; Matzutt, Roman; Nitz, Lasse Martin";"Lehrstuhl für Informationssysteme und Datenbanken (Informatik 5)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562090"
"12.00084";"Process Mining in Celonis";"PR";"van der Aalst, Willibrordus Martinus Pancratius; Berti, Alessandro";"Lehrstuhl für Process and Data Science (Informatik 9)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562798"
"12.00053";"Process Mining with Frequencies (BA)";"SE";"Leemans, Sander Jacobus Johannes; Li, Tian";"Lehr- und Forschungsgebiet Business Process Management Foundations and Engineering";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563442"
"12.00046";"Process Mining with Frequencies (MA)";"SE";"Leemans, Sander Jacobus Johannes; Li, Tian";"Lehr- und Forschungsgebiet Business Process Management Foundations and Engineering";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563874"
"41.04448";"Produktentwicklung in der Verfahrenstechnik";"VO";"Keller, Robert Gregor";"Lehrstuhl für Chemische Verfahrenstechnik und Institut für Verfahrenstechnik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560921"
"41.04350";"Produktentwicklung in der Verfahrenstechnik";"UE";"Keller, Robert Gregor";"Lehrstuhl für Chemische Verfahrenstechnik und Institut für Verfahrenstechnik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560386"
"12.00131";"Programming quantum algorithms";"PR";"Louloudis, Nikolaos";"Lehrstuhl für Quanteninformationssysteme (Informatik 15)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563653"
